AuxiliaryEffectSlotf        : Slot    : Parameter : Value
AuxiliaryEffectSlotfv       : Slot    : Parameter : Values
AuxiliaryEffectSloti        : Slot    : Parameter : Value
AuxiliaryEffectSlotiv       : Slot    : Parameter : Values
DeleteAuxiliaryEffectSlots  : Size    : Slots
DeleteEffects               : Size    : Effects
DeleteFilters               : Size    : Filters
Effectf                     : Effect  : Parameter : Value
Effectfv                    : Effect  : Parameter : Values
Effecti                     : Effect  : Parameter : Value
Effectiv                    : Effect  : Parameter : Values
Filterf                     : Filter  : Parameter : Value
Filterfv                    : Filter  : Parameter : Values
Filteri                     : Filter  : Parameter : Value
Filteriv                    : Filter  : Parameter : Values
GenAuxiliaryEffectSlots     : Size    : Slots
GenEffects                  : Size    : Effects
GenFilters                  : Size    : Filters
GetAuxiliaryEffectSlotf     : Slot    : Parameter : Values
GetAuxiliaryEffectSlotfv    : Slot    : Parameter : Values
GetAuxiliaryEffectSloti     : Slot    : Parameter : Values
GetAuxiliaryEffectSlotiv    : Slot    : Parameter : Values
GetEffectf                  : Effect  : Parameter : Values
GetEffectfv                 : Effect  : Parameter : Values
GetEffecti                  : Effect  : Parameter : Values
GetEffectiv                 : Effect  : Parameter : Values
GetFilterf                  : Filter  : Parameter : Values
GetFilterfv                 : Filter  : Parameter : Values
GetFilteri                  : Filter  : Parameter : Values
GetFilteriv                 : Filter  : Parameter : Values
IsAuxiliaryEffectSlot       : Slot
IsEffect                    : Effect
IsFilter                    : Filter 
